GeologyInterval UID,Lithology Count,Lithology UID
1TJMG30,0,No Lithology
int3TJMG30,0,No Lithology
int4TJMG30,0,No Lithology
2TJMG30,0,No Lithology
3TJMG30,0,No Lithology
int5TJMG30,0,No Lithology
int6TJMG30,0,No Lithology
4TJMG30,0,No Lithology
5TJMG30,1,5TJMG301
int7TJMG30,1,int7TJMG301
int8TJMG30,0,No Lithology
6TJMG30,0,No Lithology
7TJMG30,1,7TJMG301
int9TJMG30,0,No Lithology
int10TJMG30,0,No Lithology
8TJMG30,0,No Lithology
9TJMG30,0,No Lithology
int11TJMG30,1,int11TJMG301
int12TJMG30,0,No Lithology
10TJMG30,0,No Lithology
11TJMG30,0,No Lithology
int13TJMG30,0,No Lithology
12TJMG30,0,No Lithology
int14TJMG30,1,int14TJMG301
13TJMG30,0,No Lithology
int15TJMG30,1,int15TJMG301
14TJMG30,0,No Lithology
int16TJMG30,0,No Lithology
int17TJMG30,0,No Lithology
15TJMG30,0,No Lithology
int18TJMG30,0,No Lithology
16TJMG30,0,No Lithology
17TJMG30,0,No Lithology
int19TJMG30,0,No Lithology
int20TJMG30,1,int20TJMG301
18TJMG30,0,No Lithology
19TJMG30,0,No Lithology
int21TJMG30,1,int21TJMG301
20TJMG30,0,No Lithology
int22TJMG30,0,No Lithology
21TJMG30,0,No Lithology
int23TJMG30,0,No Lithology
int24TJMG30,0,No Lithology
22TJMG30,0,No Lithology
int25TJMG30,0,No Lithology
23TJMG30,0,No Lithology
24TJMG30,0,No Lithology
int26TJMG30,0,No Lithology
int29TJMG30,1,int29TJMG301
int27TJMG30,1,int27TJMG301
25TJMG30,0,No Lithology
int28TJMG30,0,No Lithology
int32TJMG30,1,int32TJMG301
26TJMG30,1,26TJMG301
int2TJMG30,0,No Lithology
int31TJMG30,0,No Lithology
27TJMG30,2,27TJMG301
27TJMG30,2,27TJMG302
int1TJMG30,0,No Lithology
28TJMG30,0,No Lithology
29TJMG30,0,No Lithology
30TJMG30,0,No Lithology
31TJMG30,0,No Lithology
32TJMG30,0,No Lithology
33TJMG30,1,33TJMG301
34TJMG30,0,No Lithology
35TJMG30,0,No Lithology
36TJMG30,0,No Lithology
45TJMG30,1,45TJMG301
int33TJMG30,0,No Lithology
44TJMG30,0,No Lithology
43TJMG30,0,No Lithology
42TJMG30,0,No Lithology
41TJMG30,1,41TJMG301
40TJMG30,0,No Lithology
39TJMG30,0,No Lithology
38TJMG30,1,38TJMG301
37TJMG30,0,No Lithology
59TJMG30,0,No Lithology
int30TJMG30,1,int30TJMG301
58TJMG30,0,No Lithology
57TJMG30,0,No Lithology
